week,date,plant_id,range,genotype,organ,rank,tiller,variable,value,flag,unit,days_after_planting,gdd_cumulative_F_8655
1,2026-07-09,74-2,74,B,internode,4.0,,collar_height_cumulative_cm,15.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,4.0,,dia_sheath_mm,14.63,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,4.0,,dia_perp_mm,11.82,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,5.0,,collar_height_cumulative_cm,19.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,5.0,,dia_perp_mm,15.76,,mm,38,980.3
1,2026-07-09,74-2,74,B,internode,6.0,,collar_height_cumulative_cm,20.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,internode,7.0,,collar_height_cumulative_cm,21.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,1.0,,collar_height_cumulative_cm,7.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,1.0,,dia_sheath_mm,19.44,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,1.0,,dia_perp_mm,14.34,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,2.0,,collar_height_cumulative_cm,8.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,2.0,,dia_sheath_mm,18.68,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,2.0,,dia_perp_mm,14.5,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,3.0,,collar_height_cumulative_cm,12.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,3.0,,dia_sheath_mm,15.98,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,3.0,,dia_perp_mm,11.15,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,4.0,,collar_height_cumulative_cm,16.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,4.0,,dia_sheath_mm,15.64,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,4.0,,dia_perp_mm,12.86,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,5.0,,collar_height_cumulative_cm,18.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,5.0,,dia_sheath_mm,14.77,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,5.0,,dia_perp_mm,11.74,,mm,38,980.3
1,2026-07-09,74-3,74,B,internode,6.0,,collar_height_cumulative_cm,19.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,internode,6.0,,dia_sheath_mm,17.95,wide_approx,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,1.0,,collar_height_cumulative_cm,6.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,internode,1.0,,dia_sheath_mm,17.08,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,1.0,,dia_perp_mm,11.01,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,2.0,,collar_height_cumulative_cm,9.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,internode,2.0,,dia_sheath_mm,14.98,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,2.0,,dia_perp_mm,11.18,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,3.0,,collar_height_cumulative_cm,13.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,internode,3.0,,dia_sheath_mm,14.5,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,3.0,,dia_perp_mm,11.17,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,4.0,,collar_height_cumulative_cm,17.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,internode,4.0,,dia_sheath_mm,13.99,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,4.0,,dia_perp_mm,10.41,,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,5.0,,collar_height_cumulative_cm,18.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,internode,5.0,,dia_sheath_mm,12.5,wide_cylinder_approx,mm,38,980.3
1,2026-07-09,74-4,74,B,internode,5.0,,dia_perp_mm,12.5,wide_approx,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,1.0,,collar_height_cumulative_cm,7.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,1.0,,dia_sheath_mm,23.93,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,1.0,,dia_perp_mm,18.2,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,2.0,,collar_height_cumulative_cm,10.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,2.0,,dia_sheath_mm,21.16,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,2.0,,dia_perp_mm,15.92,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,3.0,,collar_height_cumulative_cm,12.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,3.0,,dia_sheath_mm,20.12,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,3.0,,dia_perp_mm,14.32,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,4.0,,collar_height_cumulative_cm,17.0,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,4.0,,dia_sheath_mm,18.67,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,4.0,,dia_perp_mm,12.66,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,5.0,,collar_height_cumulative_cm,19.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,5.0,,dia_sheath_mm,16.81,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,5.0,,dia_perp_mm,12.32,,mm,38,980.3
1,2026-07-09,74-5,74,B,internode,6.0,,collar_height_cumulative_cm,20.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,internode,6.0,,dia_sheath_mm,18.52,,mm,38,980.3
1,2026-07-09,74-1,74,B,leaf,1.0,,length_cm,22.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,1.0,,width_cm,14.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,2.0,,length_cm,25.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,2.0,,width_cm,20.54,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,3.0,,length_cm,33.5,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,3.0,,width_cm,2.68,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,4.0,,length_cm,40.5,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,4.0,,width_cm,2.998,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,5.0,,length_cm,50.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,5.0,,width_cm,4.284000000000001,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,6.0,,length_cm,45.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,6.0,,width_cm,4.661,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,7.0,,length_cm,31.0,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,7.0,,width_cm,4.4350000000000005,,cm,38,980.3
1,2026-07-09,74-1,74,B,leaf,8.0,,length_cm,17.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,1.0,,length_cm,20.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,1.0,,width_cm,15.63,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,2.0,,length_cm,25.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,2.0,,width_cm,21.52,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,3.0,,length_cm,32.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,3.0,,width_cm,3.2159999999999997,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,4.0,,length_cm,37.5,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,4.0,,width_cm,3.601,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,5.0,,length_cm,45.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,5.0,,width_cm,4.801,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,6.0,,length_cm,48.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,6.0,,width_cm,5.0649999999999995,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,7.0,,length_cm,42.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,7.0,,width_cm,5.189,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,8.0,,length_cm,29.0,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,8.0,,width_cm,4.103,,cm,38,980.3
1,2026-07-09,74-2,74,B,leaf,9.0,,length_cm,16.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,1.0,,length_cm,17.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,1.0,,width_cm,12.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,2.0,,length_cm,24.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,2.0,,width_cm,19.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,3.0,,length_cm,28.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,3.0,,width_cm,22.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,4.0,,length_cm,34.5,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,4.0,,width_cm,3.2700000000000005,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,5.0,,length_cm,44.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,5.0,,width_cm,3.5200000000000005,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,6.0,,length_cm,47.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,6.0,,width_cm,4.0,,cm,38,980.3
1,2026-07-09,74-3,74,B,leaf,7.0,,width_cm,5.34,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,1.0,,length_cm,21.5,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,1.0,,width_cm,14.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,2.0,,length_cm,28.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,2.0,,width_cm,14.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,3.0,,length_cm,31.5,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,3.0,,width_cm,3.1,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,4.0,,length_cm,38.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,4.0,,width_cm,3.46,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,5.0,,length_cm,47.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,5.0,,width_cm,3.9,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,6.0,,length_cm,46.0,,cm,38,980.3
1,2026-07-09,74-4,74,B,leaf,6.0,,width_cm,5.4399999999999995,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,1.0,,length_cm,19.1,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,1.0,,width_cm,12.8,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,2.0,,length_cm,25.0,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,2.0,,width_cm,18.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,3.0,,length_cm,31.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,3.0,,width_cm,24.2,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,4.0,,length_cm,38.1,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,4.0,,width_cm,3.29,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,5.0,,length_cm,45.4,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,5.0,,width_cm,4.279999999999999,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,6.0,,length_cm,53.5,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,6.0,,width_cm,4.1,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,7.0,,length_cm,53.0,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,7.0,,width_cm,5.529999999999999,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,8.0,,length_cm,41.9,,cm,38,980.3
1,2026-07-09,74-5,74,B,leaf,8.0,,width_cm,6.08,,cm,38,980.3
2,2026-07-15,7327-1,7327,,internode,1.0,,collar_height_cumulative_cm,7.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,1.0,,dia_sheath_mm,29.14,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,1.0,,dia_perp_mm,23.77,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,2.0,,collar_height_cumulative_cm,9.5,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,2.0,,dia_sheath_mm,29.0,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,2.0,,dia_perp_mm,20.97,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,3.0,,collar_height_cumulative_cm,12.5,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,3.0,,dia_sheath_mm,29.02,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,3.0,,dia_perp_mm,19.99,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,4.0,,collar_height_cumulative_cm,14.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,4.0,,dia_sheath_mm,29.85,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,4.0,,dia_perp_mm,19.96,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,5.0,,collar_height_cumulative_cm,16.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,5.0,,dia_sheath_mm,27.39,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,5.0,,dia_perp_mm,18.47,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,6.0,,collar_height_cumulative_cm,19.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,6.0,,dia_sheath_mm,24.45,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,6.0,,dia_perp_mm,18.13,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,7.0,,collar_height_cumulative_cm,24.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,7.0,,dia_sheath_mm,21.6,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,7.0,,dia_perp_mm,15.83,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,8.0,,collar_height_cumulative_cm,29.5,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,8.0,,dia_sheath_mm,19.6,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,8.0,,dia_perp_mm,14.14,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,9.0,,collar_height_cumulative_cm,34.0,,cm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,9.0,,dia_sheath_mm,17.94,,mm,44,1151.0
2,2026-07-15,7327-1,7327,,internode,9.0,,dia_perp_mm,12.3,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,1.0,,collar_height_cumulative_cm,7.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,1.0,,dia_sheath_mm,26.1,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,1.0,,dia_perp_mm,19.92,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,2.0,,collar_height_cumulative_cm,8.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,2.0,,dia_sheath_mm,26.79,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,2.0,,dia_perp_mm,19.17,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,3.0,,collar_height_cumulative_cm,11.5,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,3.0,,dia_sheath_mm,26.15,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,3.0,,dia_perp_mm,19.44,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,4.0,,collar_height_cumulative_cm,13.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,4.0,,dia_sheath_mm,25.18,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,4.0,,dia_perp_mm,18.3,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,5.0,,collar_height_cumulative_cm,15.5,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,5.0,,dia_sheath_mm,23.6,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,5.0,,dia_perp_mm,18.93,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,6.0,,collar_height_cumulative_cm,21.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,6.0,,dia_sheath_mm,22.03,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,6.0,,dia_perp_mm,17.07,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,7.0,,collar_height_cumulative_cm,27.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,7.0,,dia_sheath_mm,19.53,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,7.0,,dia_perp_mm,14.75,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,8.0,,collar_height_cumulative_cm,31.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,8.0,,dia_sheath_mm,17.75,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,8.0,,dia_perp_mm,13.02,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,9.0,,collar_height_cumulative_cm,34.0,,cm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,9.0,,dia_sheath_mm,14.93,,mm,44,1151.0
2,2026-07-15,7327-2,7327,,internode,9.0,,dia_perp_mm,11.02,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,1.0,,collar_height_cumulative_cm,7.0,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,1.0,,dia_sheath_mm,21.64,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,1.0,,dia_perp_mm,14.15,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,2.0,,collar_height_cumulative_cm,10.0,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,2.0,,dia_sheath_mm,20.24,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,2.0,,dia_perp_mm,16.34,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,3.0,,collar_height_cumulative_cm,12.0,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,3.0,,dia_sheath_mm,19.1,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,3.0,,dia_perp_mm,15.27,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,4.0,,collar_height_cumulative_cm,15.5,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,4.0,,dia_sheath_mm,18.99,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,4.0,,dia_perp_mm,13.97,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,5.0,,collar_height_cumulative_cm,19.5,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,5.0,,dia_sheath_mm,16.15,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,5.0,,dia_perp_mm,12.74,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,6.0,,collar_height_cumulative_cm,24.0,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,6.0,,dia_sheath_mm,15.26,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,6.0,,dia_perp_mm,11.51,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,7.0,,collar_height_cumulative_cm,27.0,,cm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,7.0,,dia_sheath_mm,14.2,,mm,44,1151.0
2,2026-07-15,7327-3,7327,,internode,7.0,,dia_perp_mm,10.18,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,1.0,,collar_height_cumulative_cm,8.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,1.0,,dia_sheath_mm,22.9,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,1.0,,dia_perp_mm,22.41,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,2.0,,collar_height_cumulative_cm,11.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,2.0,,dia_sheath_mm,22.29,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,2.0,,dia_perp_mm,21.35,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,3.0,,collar_height_cumulative_cm,13.5,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,3.0,,dia_sheath_mm,21.96,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,3.0,,dia_perp_mm,21.08,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,4.0,,collar_height_cumulative_cm,17.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,4.0,,dia_sheath_mm,22.04,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,4.0,,dia_perp_mm,20.35,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,5.0,,collar_height_cumulative_cm,21.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,5.0,,dia_sheath_mm,20.23,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,5.0,,dia_perp_mm,20.08,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,6.0,,collar_height_cumulative_cm,29.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,6.0,,dia_sheath_mm,19.65,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,6.0,,dia_perp_mm,18.27,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,7.0,,collar_height_cumulative_cm,37.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,7.0,,dia_sheath_mm,18.13,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,7.0,,dia_perp_mm,17.68,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,8.0,,collar_height_cumulative_cm,43.0,,cm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,8.0,,dia_sheath_mm,17.42,,mm,44,1151.0
2,2026-07-15,7327-4,7327,,internode,8.0,,dia_perp_mm,16.73,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,1.0,,collar_height_cumulative_cm,8.0,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,1.0,,dia_sheath_mm,22.11,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,1.0,,dia_perp_mm,17.84,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,2.0,,collar_height_cumulative_cm,11.0,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,2.0,,dia_sheath_mm,22.28,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,2.0,,dia_perp_mm,15.38,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,3.0,,collar_height_cumulative_cm,12.5,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,3.0,,dia_sheath_mm,21.37,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,3.0,,dia_perp_mm,13.98,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,4.0,,collar_height_cumulative_cm,13.5,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,4.0,,dia_sheath_mm,19.18,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,4.0,,dia_perp_mm,13.67,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,5.0,,collar_height_cumulative_cm,16.0,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,5.0,,dia_sheath_mm,18.73,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,5.0,,dia_perp_mm,13.34,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,6.0,,collar_height_cumulative_cm,19.0,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,6.0,,dia_sheath_mm,17.44,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,6.0,,dia_perp_mm,12.35,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,7.0,,collar_height_cumulative_cm,23.0,,cm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,7.0,,dia_sheath_mm,15.85,,mm,44,1151.0
2,2026-07-15,7327-5,7327,,internode,7.0,,dia_perp_mm,12.0,,mm,44,1151.0
2,2026-07-15,7427-1,7427,,internode,1.0,,collar_height_cumulative_cm,7.0,,cm,44,1151.0
2,2026-07-15,7427-1,7427,,internode,1.0,,dia_sheath_mm,22.18,,mm,44,1151.0
2,2026-07-15,7427-1,7427,,internode,1.0,,dia_perp_mm,17.71,,mm,44,1151.0
